"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 23 06:15:34 GMT 2025","Sat Aug 23 06:15:35 GMT 2025","1058","tests","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Sat Aug 23 06:15:33 GMT 2025","Sat Aug 23 06:15:34 GMT 2025","777","tests","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Sat Aug 23 06:15:39 GMT 2025","Sat Aug 23 06:15:40 GMT 2025","1316","tests","test_product","TestProduct","","","Add product to cart",""
"passed","Sat Aug 23 06:15:43 GMT 2025","Sat Aug 23 06:15:44 GMT 2025","1690","tests","test_registration","TestRegistration","","","Register new user",""
"passed","Sat Aug 23 06:15:36 GMT 2025","Sat Aug 23 06:15:37 GMT 2025","1142","tests","test_home","TestHome","","","Home page opening",""
"passed","Sat Aug 23 06:15:40 GMT 2025","Sat Aug 23 06:15:42 GMT 2025","1822","tests","test_registration","TestRegistration","","","Register new user",""
"passed","Sat Aug 23 06:15:32 GMT 2025","Sat Aug 23 06:15:33 GMT 2025","804","tests","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Sat Aug 23 06:15:38 GMT 2025","Sat Aug 23 06:15:39 GMT 2025","1062","tests","test_product","TestProduct","","","Search product",""
"passed","Sat Aug 23 06:15:44 GMT 2025","Sat Aug 23 06:15:45 GMT 2025","663","tests","test_registration","TestRegistration","","","Email field is prefilled during registration",""
"passed","Sat Aug 23 06:15:31 GMT 2025","Sat Aug 23 06:15:32 GMT 2025","977","tests","test_authorization","TestAuthorization","","","User successful login",""
